Kommun,Fastighetsbeteckning,Adress,Byggår/Värdeår,Fastighetskategori,Tomträtt,Kontor,Handel,Industri/Lager,Utbilning/Vård,Hotell,Bostad,Övrigt,Totalt,"Taxeringsvärde, Mkr"
Finland,Espoo,Jousenpuistonkatu 2,2019,Handel,,,1266,,,,,,1266,
Finland,Helsinki,Fredrikinkatu 47,1955,Kontor,,3669,,,,,,,3669,
Finland,Sipoo,Gneissikaari 13,2019,Bostad,,,,,,,380,,380,
Finland,Sipoo,Graniittitie 8,2020,Bostad,,,,,,,279,,279,
Finland,Järvenpää,Harava 1,2018,Bostad,,,,,,,114,,114,
Finland,Vantaa,Haravakuja 10,2018,Bostad,,,,,,,27,,27,
Finland,Klaukkala,Isoseppäla 14,1966,Handel,,,3008,,,,,,3008,
Finland,Vantaa,Jaspiskuja 6 B,2019,Bostad,,,,,,,61,,61,
Finland,Vantaa,Jaspiskuja 6 C,2018,Bostad,,,,,,,67,,67,
Finland,Vantaa,Jokiniemenkuja 7,2020,Bostad,,,,,,,81,,81,
Finland,Kerava,Juurakkokatu 56,2017,Bostad,,,,,,,384,,384,
Finland,Vantaa,Kaivokselantie,2020,Övrigt,,,,,,,,,,
Finland,Vantaa,Kaivokselantie 5 C,2018,Bostad,,,,,,,122,,122,
Finland,Vantaa,Kaivokselantie 5 L,2019,Bostad,,,,,,,2422,,2422,
Finland,Vantaa,Kaivokselantie 5 N-M,2019,Bostad,,,,,,,298,,298,
Finland,Espoo,Kavallinmäki 13,2019,Bostad,,,,,,,423,,423,
Finland,Vantaa,Keimolankaarre 1 B,2020,Bostad,,,,,,,706,,706,
Finland,Vantaa,Keimolankaarre 3,2019,Bostad,,,,,,,2153,,2153,
Finland,Vantaa,Keltasafiirinpolku 3 C-E,2019,Bostad,,,,,,,2797,,2797,
Finland,Vantaa,Keltasafiirinpolku 3 F-H,2019,Bostad,,,,,,,748,,748,
Finland,Vantaa,Keltavuokontie 4,2016,Bostad,,,,,,,418,,418,
Finland,Vantaa,Kilterinrinne 3 B,2020,Bostad,,,,,,,23,,23,
Finland,Vantaa,Kilterinrinne 3 A,2020,Bostad,,,,,,,50,,50,
Finland,Espoo,Klippinkitie 7,2018,Bostad,,,,,,,901,,901,
Finland,Vantaa,Korsontie 14,2019,Bostad,,,,,,,400,,400,
Finland,Vantaa,Kulorastaantie 3,2019,Bostad,,,,,,,390,,390,
Finland,Vantaa,Kvartsijuonenkuja 1,2019,Bostad,,,,,,,71,,71,
Finland,Helsinki,Kyytimiehenkatu 1,2018,Bostad,,,,,,,495,,495,
Finland,Helsinki,Laurinniityntie 17,2016,Bostad,,,,,,,353,,353,
Finland,Vantaa,Lincolninaukio 1,2019,Bostad,,,,,,,2515,,2515,
Finland,Espoo,Linjaloistonkatu 3,2019,Bostad,,,,,,,297,,297,
Finland,Vantaa,Lipstikkakuja 1,2020,Bostad,,,,,,,113,,113,
Finland,Vantaa,Lipstikkakuja 1 A,2019,Bostad,,,,,,,147,,147,
Finland,Vantaa,Lipstikkakuja 1 B,2020,Bostad,,,,,,,105,,105,
Finland,Vantaa,Lipstikkakuja 8,2018,Bostad,,,,,,,118,,118,
Finland,Helsinki,Läntinen Brahenkatu 2,1961,Hotell,,,,,,3979,,,3979,
Finland,Vantaa,Maamiehentie 15,2017,Bostad,,,,,,,172,,172,
Finland,Vantaa,Martinlaaksonpolku 6,2019,Bostad,,,,,,,779,,779,
Finland,Vantaa,Martinpolku 10,2019,Bostad,,,,,,,33,,33,
Finland,Kerava,Niinikankaantie 9,2019,Bostad,,,,,,,1160,,1160,
Finland,Vantaa,Ohratie,2018,Bostad,,,,,,,1694,,1694,
Finland,Espoo,Paapuuri 4,2019,Bostad,,,,,,,203,,203,
Finland,Vantaa,Peltolantie 30,2018,Bostad,,,,,,,115,,115,
Finland,Nurmijärvi,Pikimetsäntie 11,2018,Bostad,,,,,,,50,,50,
Finland,Espoo,Pikkunevantie 5,2018,Bostad,,,,,,,156,,156,
Finland,Helsinki,Radiokuja 4,2019,Bostad,,,,,,,118,,118,
Finland,Vantaa,Rajakyläntie 34,2013,Bostad,,,,,,,320,,320,
Finland,Vantaa,Rajatie 39,2019,Bostad,,,,,,,140,,140,
Finland,Espoo,Reviisorinkatu 10,2019,Bostad,,,,,,,847,,847,
Finland,Nurmijärvi,Ropakkotie 6 A,2018,Bostad,,,,,,,168,,168,
Finland,Nurmijärvi,Ropakkotie 6 B,2018,Bostad,,,,,,,2122,,2122,
Finland,Nurmijärvi,Ropakkotie 8 D,2018,Bostad,,,,,,,113,,113,
Finland,Nurmijärvi,Ropakkotie 8 E,2018,Bostad,,,,,,,1099,,1099,
Finland,Vantaa,Rubiinikehä 4 A,2020,Bostad,,,,,,,94,,94,
Finland,Vantaa,Rubiinikehä 4 B,2020,Bostad,,,,,,,134,,134,
Finland,Espoo,Runoratsunkatu 3,2019,Bostad,,,,,,,252,,252,
Finland,Kirkkonummi,Rydmanintie 7 A,2020,Bostad,,,,,,,80,,80,
Finland,Kirkkonummi,Rydmantintie 7,2020,Bostad,,,,,,,71,,71,
Finland,Vantaa,Safiirikuja 8,2019,Bostad,,,,,,,465,,465,
Finland,Vantaa,Sinikuja 3,2015,Bostad,,,,,,,336,,336,
Finland,Espoo,Sotilastorpantie 1,2014,Bostad,,,,,,,500,,500,
Finland,Vantaa,Spinellikuja 2,2020,Övrigt,,,,,,,,,,
Finland,Vantaa,Spinellikuja 5 A,2019,Bostad,,,,,,,92,,92,
Finland,Vantaa,Spinellikuja 5 B,2018,Bostad,,,,,,,68,,68,
Finland,Vantaa,Spinellikuja 5 C,2019,Bostad,,,,,,,69,,69,
Finland,Vantaa,Spinellikuja 5 D,2019,Bostad,,,,,,,124,,124,
Finland,Vantaa,Spinellikuja 9,2019,Bostad,,,,,,,69,,69,
Finland,Helsinki,Sulhasenkuja 3,2005,Hotell,,,,,,9734,,,9734,
Finland,Espoo,Suviniitynkatu 4,2018,Bostad,,,,,,,579,,579,
Finland,Porvoo,Tarkmansintie 11,2018,Bostad,,,,,,,2772,,2772,
Finland,Kirkkonummi,Tarutie 19,2019,Bostad,,,,,,,1951,,1951,
Finland,Sipoo,Tasbyntie 11,2018,Bostad,,,,,,,2224,,2224,
Finland,Sipoo,Tasbyntie 18,2018,Bostad,,,,,,,1448,,1448,
Finland,Vanda,Tikkurilantie 123,2010,Handel,,,13102,,,,,,13102,
Finland,Nurmijärvi,Tilkankuja 3 B,2020,Bostad,,,,,,,134,,134,
Finland,Kirkkonummi,Tolsankuja 5,2017,Bostad,,,,,,,1040,,1040,
Finland,Vantaa,Topaasipolku 2,2020,Bostad,,,,,,,62,,62,
Finland,Nurmijärvi,Tornitie 4–6,2018,Bostad,,,,,,,1938,,1938,
Finland,Espoo,Tyrskyvuori 4,2007,Bostad,,,,,,,630,,630,
Finland,Espoo,Tyyrpuuri 2,2019,Bostad,,,,,,,249,,249,
Finland,Vantaa,Valtimotie 3 A,2018,Bostad,,,,,,,73,,73,
Finland,Vantaa,Valtimotie 3 B,2018,Bostad,,,,,,,294,,294,
Finland,Vantaa,Varikkokaarre 4,2019,Bostad,,,,,,,642,,642,
Finland,Kirkkonummi,Vernerintie 12,2018,Bostad,,,,,,,1327,,1327,
Finland,Kirkkonummi,Vernerintie 6,2019,Bostad,,,,,,,1320,,1320,
Finland,Kirkkonummi,Vernerintie 8,2019,Bostad,,,,,,,1266,,1266,
Finland,"SATO Oyj , flera fastigheter",,,Bostad,,,,,,,1066844,,1066844,
Botkyrka,Freja 2,Balders väg 10,1973,Bostad,Ja,,,,,,7060,220,7280,68
Botkyrka,Freja 3,Balders väg 1,1973,Bostad,Ja,,,,,,7167,220,7387,65
Botkyrka,Hallunda 4:11,Iduns väg 1–16,,Övrigt,Ja,,,,,,,,,
Botkyrka,Hallunda 4:9,Balders väg 1–16,,Övrigt,Ja,,,,,,,,,
Botkyrka,Idun 2,Iduns väg 10,1972,Bostad,Ja,,,35,,,7060,256,7351,66
Botkyrka,Idun 3,Iduns väg 1,1972,Bostad,Ja,,,255,,,7060,,7315,67
Haninge,Ribby 1:531,Ribby Allé 86 B,2015,Bostad,,,,,,,3140,,3140,39
Huddinge,Björkgården 6,Vårby Allé 32,1973,Bostad,,,,,,,14926,,14926,154
Huddinge,Bäckgården 8,Vårby Centrum,1974,Övrigt,Ja,2719,2550,381,,,,2238,7888,43
Huddinge,Krongården 7,Krongårdsvägen 1,1973,Bostad,,,,,,,42045,,42045,420
Huddinge,Vinkeln 7,Geometrivägen,1994,Handel,,,5391,,,,,,5391,80
Järfälla,Säby 3:29,Korpralsvägen 10,2008,Bostad,,10,,622,,,5344,8,5984,105
Karlskoga,Fordonet 1,Tibastvägen 10,1975,Handel,Ja,,1660,,,,,,1660,6
Lidingö,Fjällräven 1,"Karins Allé 3–7, Vesslevägen 3",1963/1999,Bostad,,,,100,4348,,2561,,7009,
Linköping,Palmen 3,Gamla Tanneforsvägen 51,2002,Hotell,,,,,,11086,,,11086,155
Nacka,Sicklaön 354:1,Ektorpsvägen 2,1979,Kontor,,6058,3871,1279,5726,1385,,303,18622,78
Nacka,Sicklaön 363:2,Värmdövägen 84,1986,Hotell,,2392,,35,,8365,,,10792,142
Nacka,Älta 9:130,Ältavägen 170,1992,Handel,,,960,,,,880,,1840,24
Norrtälje,Flygspanaren 8,Stockholmsvägen 39,1959,Handel,,,1884,,,,,,1884,9
Nynäshamn,Loket 5 & 6,Nickstabadsvägen 14 A,2015,Bostad,,,,,,,6394,,6394,103
Nynäshamn,Musköten 1,Björn Barkmans väg 1,1968,Bostad,,206,,65,,,22494,1208,23973,203
Sollentuna,Ritmallen 2,Kung Hans Väg 10,1981/1993,Bostad,,298,,1721,,7844,,1148,11011,121
Solna,Banken 14,Hotellgatan 11,1965,Hotell,,93,,,,11444,,,11537,181
Solna,Puman 1,Bangatan 21,1972,Hotell,,340,,145,,1664,,,2149,23
Stockholm,Alptanäs 1,Haukadalsgatan 3,1981,Handel,Ja,2222,10409,,,,,859,13490,79
Stockholm,Doggen 1,Vinthundsvägen 157,1974,Kontor,,1650,,,,,,,1650,9
Stockholm,Doggen 2,Vinthundsvägen 159,1984,Kontor,Ja,4721,,,,,,,4721,23
Stockholm,Domherren 1,Rådmansgatan 12 A,1929,Kontor,,9719,,26,,,,714,10459,354
Stockholm,Fiskaren Större 3,Götgatan 21,1929,Bostad,,235,993,,,,1375,,2603,80
Stockholm,Granen 21,Floragatan 13,1972,Kontor,,4304,,,,,,,4304,145
Stockholm,Göta Ark 18,Göta Ark 100,1985,Kontor,Ja,17761,320,876,,,,559,19516,529
